,Unnamed: 0,Box Office,IMDB,Metacritic,Released,Rotten Tomatoes,Rank,Worldwide Box Office,Domestic Box Office,International Box Office,Awards,Actors_1,Actors_2,Actors_3,directors_1,directors_2,Country_1,language_1,language_2,Genre_1,Genre_2
50,50,162001186,6.0,30,40354,0.1,529,272223430,162001186,110222244,0,46,3392,1043,408,0,63,27,92,4,0
51,51,216900000,8.1,74,40263,0.99,208,494870992,217581232,277289760,0,2628,2084,1201,400,265,63,27,0,2,0
52,52,292568851,8.8,74,40375,0.86,73,832402082,292576195,539825887,4,3608,3084,1769,286,0,63,27,48,0,1
53,53,312057433,7.0,57,40305,0.73,142,621156389,312433331,308723058,0,5044,2169,1586,885,0,63,27,32,0,1
54,54,20000000,7.6,66,40284,0.75,1600,97531134,48071303,49459831,0,11,1994,1877,1102,0,62,27,0,0,4
55,55,125001000,8.1,63,40228,0.68,471,299461782,128012934,171448848,0,3608,3913,552,1090,0,63,27,34,15,20
56,56,414984497,8.3,92,40347,0.98,28,1068879522,415004880,653874642,2,5823,5758,2823,1004,0,63,27,92,2,1
57,57,34300000,7.8,78,40802,0.92,1865,81357930,35060689,46297241,0,5199,849,799,1220,0,63,27,92,5,7
58,58,209805005,7.3,66,40662,0.77,137,630163454,210031325,420132129,0,5972,4671,3065,931,0,63,27,72,0,5
59,59,79230923,7.4,59,40620,0.69,1052,155564919,79249455,76315464,0,704,5042,14,1196,0,63,27,78,15,18
60,60,241063875,6.6,45,40683,0.33,31,1045663875,241063875,804600000,0,3001,4695,2045,1411,0,63,27,92,0,1
61,61,102515793,7.8,71,40898,0.86,623,239373970,102515793,136858177,1,1287,5144,1101,358,0,63,27,94,5,7
62,62,169705587,8.1,62,40765,0.76,723,213120004,169705587,43414417,1,1811,5992,802,1633,0,63,27,0,7,0
63,63,35900000,6.7,53,40844,0.37,973,165103952,37553932,127550020,0,3198,4527,5435,65,0,63,27,0,0,5
64,64,134000000,7.2,69,40984,0.84,777,202812429,138447667,64364762,0,3030,947,761,1332,285,63,27,0,0,4
65,65,262030663,7.0,66,41093,0.72,95,757890267,262030663,495859604,0,293,1811,4909,1041,0,63,27,0,0,1
66,66,55300000,6.7,49,41005,0.45,636,236799211,56758835,180040376,0,2589,220,1027,886,621,63,27,0,4,0
67,67,623279547,8.1,69,41033,0.92,8,1517935897,623279547,894656350,0,5044,1021,3913,919,0,63,27,78,0,1
68,68,623279547,8.1,69,41033,0.92,2738,48585416,23385416,25200000,0,5044,1021,3913,919,0,63,27,78,0,1
69,69,65173160,5.8,41,41047,0.34,435,313477717,65233400,248244317,0,5676,154,5000,1298,0,63,27,48,0,1
70,70,113165635,6.7,61,41131,0.56,509,280355920,113203870,167152050,0,2741,5317,5497,1698,0,63,27,78,0,1
71,71,237282182,7.1,69,41082,0.79,174,554606532,237282182,317324350,1,3328,638,1812,1054,175,63,27,0,2,1
72,72,42043633,7.0,72,41012,0.91,2080,70689968,42073277,28616691,0,3460,1025,351,448,0,63,27,48,4,12
73,73,86897182,6.1,50,41131,0.65,1477,104907746,86907746,18000000,0,6054,6144,2619,721,0,63,27,0,4,0
74,74,22100000,7.4,55,41208,0.67,1230,130673154,27108272,103564882,0,5823,2185,2791,1690,988,18,27,92,0,7
75,75,448130642,8.4,78,41110,0.87,27,1084439099,448139099,636300000,0,1049,2014,5824,286,0,62,27,6,0,20
76,76,79711678,6.2,55,41040,0.36,628,238202668,79727149,158475519,0,3001,4256,2251,1654,0,63,27,0,4,9
77,77,162804648,8.4,81,41268,0.86,244,449948323,162805434,287142889,2,2535,1076,3608,1352,0,63,27,34,7,22
78,78,13401683,7.1,60,41173,0.78,3060,41467606,13414714,28052892,0,3235,4815,276,1296,0,62,27,0,0,5
79,79,39100000,7.6,68,41173,0.85,2432,57586606,41003371,16583235,0,2460,4211,4377,353,0,63,27,92,0,5
80,80,85017401,6.6,51,41138,0.67,437,311979256,85028192,226951064,0,5625,2618,2781,1550,0,63,27,0,0,1
81,81,89400000,7.3,76,41215,0.78,1008,160558438,93772375,66786063,0,4360,1509,896,1457,0,63,27,0,7,20
82,82,37101011,5.8,0,41262,0.5,3072,41294674,37134215,4160459,0,516,5361,3147,82,0,63,27,0,4,7
83,83,45274251,6.4,40,41194,0.4,2022,73239258,45290318,27948940,0,3392,5227,2265,510,0,63,27,25,0,4
84,84,303001229,7.9,58,41257,0.65,38,1017003568,303003568,714000000,0,2319,3946,4917,1313,0,63,27,0,1,8
85,85,148280635,7.1,47,41180,0.44,309,378505812,148313048,230192764,0,46,318,5353,555,0,63,27,0,2,4
86,86,80033643,7.0,50,41264,0.63,701,217370736,80070736,137300000,0,5815,5150,4954,284,0,63,27,0,0,5
87,87,73058679,6.6,51,40977,0.52, ,282778100,73058679,209719421,0,5676,3779,5246,67,0,63,27,0,0,1
88,88,14900000,6.2,64,41243,0.74,3173,39238443,14945541,24292902,0,700,5307,553,61,0,63,27,0,5,20
89,89,36300000,7.3,58,41150,0.67,2534,54393687,37397291,16996396,0,5426,5824,2593,840,0,63,27,0,5,7
